"genes_control" "promedio_control" "sd_control" "deltaCt_control"
"1" "Actina" 16.2866666666667 0.153079500042734 0
"2" "B.catenina" 20.3766666666667 0.123423390543825 4.09
"3" "Dvl" 22.9666666666667 0.851958527942139 6.68
"4" "C.Jun" 20.7166666666667 0.0950438495292205 4.43
"5" "Wnt3a" 26.3233333333333 0.320052079095471 10.0366666666667
"6" "APC" 26.1333333333333 0.412956817758629 9.84666666666667
"7" "CSNK1" 22.93 0.238117617995813 6.64333333333333
"8" "MMP7" 26.33 0.511761663276959 10.0433333333333
"9" "PYGO" 23.7933333333333 0.105039675043924 7.50666666666667
"10" "FZD5" 24.5566666666667 0.170391705588427 8.27
"11" "LRP5" 24.0733333333333 0.0321455025366429 7.78666666666667
"12" "PAK1" 23.86 0.0699999999999995 7.57333333333333
"13" "COX2" 24.6733333333333 0.0513160143944695 8.38666666666667
